cancer_type	tissue	target_index	track_name	strand	assay_title	output_type	ontology_curie	biosample_name	biosample_type	biosample_life_stage	data_source	gtex_tissue	histone_mark	transcription_factor	nonzero_mean	matched_patterns
CESC	Cervix	5364	junction_UBERON:0000458 gtex Cervix_Endocervix polyA plus RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0000458	endocervix	tissue			Cervix_Endocervix				\bendocervix\b
CESC	Cervix	330	hCAGE UBERON:0000002	+	hCAGE	OutputType.CAGE	UBERON:0000002	uterine cervix	tissue		fantom				35.90520477294922	\bcervix\b
CESC	Cervix	603	hCAGE UBERON:0000002	-	hCAGE	OutputType.CAGE	UBERON:0000002	uterine cervix	tissue		fantom				35.90520477294922	\bcervix\b
CHOL	Biliary	152	UBERON:0002394 ATAC-seq	.	ATAC-seq	OutputType.ATAC	UBERON:0002394	bile duct	tissue	adult	encode				0.4307073652744293	\bbile duct\b
CHOL	Biliary	402	hCAGE UBERON:0002110	+	hCAGE	OutputType.CAGE	UBERON:0002110	gallbladder	tissue		fantom				72.35385131835938	\bgallbladder\b;\bgallbladder\b
CHOL	Biliary	675	hCAGE UBERON:0002110	-	hCAGE	OutputType.CAGE	UBERON:0002110	gallbladder	tissue		fantom				72.35385131835938	\bgallbladder\b;\bgallbladder\b
CHOL	Biliary	157	UBERON:0005033 ATAC-seq	.	ATAC-seq	OutputType.ATAC	UBERON:0005033	mucosa of gallbladder	tissue	child	encode				0.8860199451446533	\bgallbladder\b;\bgallbladder\b
CHOL	Biliary	996	UBERON:0005033 DNase-seq	.	DNase-seq	OutputType.DNASE	UBERON:0005033	mucosa of gallbladder	tissue	child	encode				0.7470425963401794	\bgallbladder\b;\bgallbladder\b
CHOL	Biliary	1273	UBERON:0005033 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0005033	mucosa of gallbladder	tissue	child	encode				0.1606866717338562	\bgallbladder\b;\bgallbladder\b
CHOL	Biliary	1544	UBERON:0005033 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0005033	mucosa of gallbladder	tissue	child	encode				0.1606866717338562	\bgallbladder\b;\bgallbladder\b
CHOL	Biliary	5488	junction_UBERON:0005033 total RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0005033	mucosa of gallbladder	tissue							\bgallbladder\b;\bgallbladder\b
CHOL	Biliary	4754	usage_UBERON:0005033 total RNA-seq	+	total RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0005033	mucosa of gallbladder	tissue	child	encode					\bgallbladder\b;\bgallbladder\b
CHOL	Biliary	5121	usage_UBERON:0005033 total RNA-seq	-	total RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0005033	mucosa of gallbladder	tissue	child	encode					\bgallbladder\b;\bgallbladder\b
COAD	Colon	1621	UBERON:0001159 gtex Colon_Sigmoid polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001159	sigmoid colon	tissue	adult	gtex	Colon_Sigmoid			0.0509834922850132	\bcolon\b;\bcolon\b
COAD	Colon	4660	usage_UBERON:0001159 gtex Colon_Sigmoid polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0001159	sigmoid colon	tissue	adult	gtex	Colon_Sigmoid				\bcolon\b;\bcolon\b
